,id,title,city,postDate,updateDate,tags,commentCount,upRank,downRank,start_price
0,69908527,جهاز سير كهربائي,جده,2021-01-30 06:11:20,2021-01-30 06:11:20,"['اجهزة غير مصنفة', 'حراج الأجهزة']",8,0,0,0
1,69908531,هديتين للرابح مزاد بخورملكي (نص ساعة ققط ),القصيم,2021-01-30 06:11:25,2021-01-30 06:11:25,"['عطورات', 'كل الحراج', 'مستلزمات شخصية']",2,86,0,0
2,69908523,جده  جهاز يساعد الناس الوصول إلى النت,جده,2021-01-30 06:10:48,2021-01-30 06:10:48,"['حراج الأجهزة', 'هواوي Huawei']",0,0,0,0
3,69908496,يدين سوني 4 نظيف,جده,2021-01-30 06:08:38,2021-01-30 06:08:38,"['حراج الأجهزة', 'سوني Sony']",1,0,0,200
4,69908488,للبيع اكس بوكس ون اس,الرياض,2021-01-30 06:08:10,2021-01-30 06:08:10,"['حراج الأجهزة', 'مايكروسوفت Microsoft']",0,0,0,0
5,69908487,شاشة سيارة اندرويد بسعر مغري ب450 ريال فقط,نجران,2021-01-30 06:08:04,2021-01-30 06:08:04,"['حراج الأجهزة', 'سوني Sony', 'شاشة', 'كل الحراج']",2,11,0,0
6,69908480,ايفون اكس معدل 12 الجهاز 256 قيقا,الرياض,2021-01-30 06:07:37,2021-01-30 06:07:37,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",3,0,0,0
7,69908479,ايفون 7 بلس 256 قيقا,جده,2021-01-30 06:07:33,2021-01-30 06:07:33,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",0,0,0,0
8,69908478,كاميرات مراقبه عالية الجودة 100,جده,2021-01-30 06:07:26,2021-01-30 06:07:26,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
9,69908475,شاشة 60 بوصة  ما فيها الا كسر ولا,المدينة,2021-01-30 06:07:03,2021-01-30 06:07:03,"['حراج الأجهزة', 'سوني Sony', 'شاشة']",3,0,0,0
10,69908471,حاسب مكتبي كمبيوتر حاسب الي,حائل,2021-01-30 06:06:44,2021-01-30 06:06:44,"['حراج الأجهزة', 'ديل DELL']",1,0,0,0
11,69908470,حساب فورت نايت نادر السعر ع السوم,القصيم,2021-01-30 06:06:42,2021-01-30 06:06:42,"['اجهزة بلاي ستيشن PS', 'حراج الأجهزة', 'سوني Sony']",5,0,0,0
12,69908463,كمبيوتر مكتبي,مكه,2021-01-30 06:05:57,2021-01-30 06:05:57,"['ال جي LG', 'حراج الأجهزة']",0,0,0,0
13,69908460,جهاز فيديو إل جي LG,تبوك,2021-01-30 06:05:46,2021-01-30 06:05:46,"['ال جي LG', 'حراج الأجهزة']",0,11,0,0
14,69908459,ايفون 12برو 512قيقا جديد مع ضمانه من اس تي سي لون الازرق,جده,2021-01-30 06:05:41,2021-01-30 06:05:41,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",1,0,0,0
15,69908583,مكنسة كهربائية يابانية SANYO,تبوك,2021-01-30 06:16:43,2021-01-30 06:16:43,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'لمبة']",0,0,0,0
16,69908570,كامراتGo Bro HERO4,المدينة,2021-01-30 06:15:43,2021-01-30 06:15:43,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كاميرا']",0,0,0,0
17,69908565,شاشة قيمنق واستخدام,الرياض,2021-01-30 06:15:23,2021-01-30 06:15:23,"['حراج الأجهزة', 'سوني Sony', 'شاشة', 'كل الحراج']",9,0,0,0
18,69908560,محتاج وضيفه اي شي,المدينة,2021-01-30 06:15:00,2021-01-30 06:15:00,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",2,0,0,0
19,69908200,حساب ببجي للبيع لفل70 لتواصل وتساب0552487592,الرياض,2021-01-30 05:41:15,2021-01-30 05:41:15,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",2,0,0,350
20,69908197,ساعة ذكية شبيهة ابل الاصدار السادس مواصفات رهيبة,المدينة,2021-01-30 05:41:05,2021-01-30 05:41:05,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,15,0,198
21,69908554,تنسيق الحدائق العامة للمهندس علاء,الرياض,2021-01-30 06:13:37,2021-01-30 06:13:37,"['جالكسي نوت Galaxy Note', 'حراج الأجهزة', 'سامسونج Samsung', 'كل الحراج']",2,2,0,1247
22,69908553,اكسسورات جوالات اصليه باسعار منافسة .,تبوك,2021-01-30 06:13:22,2021-01-30 06:13:22,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",1,1,0,0
23,69908547,حساب ببجي كونكر 8,الرياض,2021-01-30 06:13:03,2021-01-30 06:13:03,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",3,0,0,0
24,69908542,ايفون اكس اس,جده,2021-01-30 06:12:33,2021-01-30 06:12:33,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",0,0,0,0
25,69908539,للبيعالاحساء,الشرقيه,2021-01-30 06:12:20,2021-01-30 06:12:20,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
26,69908528,عندي  psp مخزن 35 لعبه بدمام,الشرقيه,2021-01-30 06:11:20,2021-01-30 06:11:20,"['اجهزة بلاي ستيشن PS', 'حراج الأجهزة', 'سوني Sony']",0,0,0,0
27,69908453,جهاز وأي فاي منفذ تشحن الجوال على السوم,الجوف,2021-01-30 06:04:31,2021-01-30 06:04:31,"['اجهزة غير مصنفة', 'حراج الأجهزة']",3,0,0,0
28,69908445,ايفون X للبيع,الرياض,2021-01-30 06:03:39,2021-01-30 06:03:39,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",7,0,0,0
29,69908444,شاحن انكر متنقل مع وصلة الايفون (التواصل عالواتس فقط),الرياض,2021-01-30 06:03:37,2021-01-30 06:03:37,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
30,69908435,ايفون 11 برو ماكس زيتي 64 قيقا,الرياض,2021-01-30 06:02:29,2021-01-30 06:02:29,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",11,0,0,0
31,69908434,شاحن ابل واتش اصلي من ابل,الرياض,2021-01-30 06:02:22,2021-01-30 06:02:22,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",1,0,0,0
32,69908428,سماعات سوني,الرياض,2021-01-30 06:01:44,2021-01-30 06:01:44,"['حراج الأجهزة', 'سوني Sony']",0,1,0,1300
33,69908424,نكهة سولت للبيع,المدينة,2021-01-30 06:01:22,2021-01-30 06:01:22,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
34,69908503,آيفون 7 بلس 128,الرياض,2021-01-30 06:09:03,2021-01-30 06:09:03,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",1,0,0,0
35,69908422,ايفون XS ذهبي 64 قيقا,المدينة,2021-01-30 06:01:19,2021-01-31 07:52:20,"['Packaged goods', 'ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",4,1,0,0
36,69908417,آيباد ميني 16 واي فاي,الرياض,2021-01-30 06:00:58,2021-01-30 06:00:58,"['ابل Apple', 'ايباد iPad', 'حراج الأجهزة']",6,0,0,0
37,69908416,حساب تيك توك رباعي للبيع,حائل,2021-01-30 06:00:57,2021-01-30 06:00:57,"['حراج الأجهزة', 'سوني Sony', 'كل الحراج']",13,0,0,0
38,69908415,ماكينة خياطة,القصيم,2021-01-30 06:00:57,2021-01-30 06:00:57,"['أجهزة منزلية', 'اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
39,69908413,حساب بيجي للبيع,القصيم,2021-01-30 06:00:53,2021-01-30 06:00:53,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",1,0,0,0
40,69908410,ثلاجة هيتاشي,الرياض,2021-01-30 06:00:32,2021-01-30 06:00:32,"['حراج الأجهزة', 'هيتاشي Hitachi']",1,0,0,0
41,69908408,اشرطه للبيع او للبدل,مكه,2021-01-30 06:00:28,2021-01-30 06:00:28,"['حراج الأجهزة', 'سوني Sony']",3,0,0,0
42,69908399,حساب فيفا 21 Fifa,المدينة,2021-01-30 05:59:27,2021-01-30 05:59:27,"['حراج الأجهزة', 'سوني Sony']",0,0,0,0
43,69908393,ايفون 12 برو ماكس,أبها,2021-01-30 05:58:35,2021-01-30 05:58:35,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",1,0,0,0
44,69908387,ايفون 11 برو ماكس زيتي,الرياض,2021-01-30 05:57:38,2021-01-30 05:57:38,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",4,0,0,0
45,69908383,هواوي نوفا 7 5g,الرياض,2021-01-30 05:57:02,2021-01-30 05:57:02,"['حراج الأجهزة', 'هواوي Huawei']",8,0,0,0
46,69908382,سماعة سوني wi-1000x,الرياض,2021-01-30 05:56:56,2021-01-30 05:56:56,"['حراج الأجهزة', 'سوني Sony', 'شاشة']",0,0,0,500
47,69908373,اكس بوكس ون اس للبيع,أبها,2021-01-30 05:56:17,2021-01-30 05:56:17,"['حراج الأجهزة', 'مايكروسوفت Microsoft']",0,0,0,0
48,69908370,مراجيح زحاليق مرجيحه زحليقه ب سعر مناسب,نجران,2021-01-30 05:55:57,2021-01-30 05:55:57,"['ابل Apple', 'حراج الأجهزة', 'كل الحراج']",1,1,0,0
49,69908356,بسم الله نتوكل ساعات شبيهة80ريال انشاءالله تعجبكم,جده,2021-01-30 05:55:13,2021-01-30 05:55:13,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",0,0,0,0
50,69908351,ساعة ابل روز قولد,مكه,2021-01-30 05:54:50,2021-01-30 05:54:50,"['ابل Apple', 'حراج الأجهزة', 'ساعة أبل Apple Watch']",4,0,0,0
51,69908349,جوال سيارة نوكيا,مكه,2021-01-30 05:54:42,2021-01-30 05:54:42,"['حراج الأجهزة', 'نوكيا Nokia']",1,0,0,0
52,69908346,كمبيوتر مكتبيi7 للألعاب مع كل ملحقاته,مكه,2021-01-30 05:54:27,2021-01-30 05:54:27,"['حراج الأجهزة', 'ديل DELL']",2,0,0,0
53,69908338,حساب ببجي الكوريه للبدل,مكه,2021-01-30 05:53:55,2021-01-30 05:53:55,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",5,0,0,0
54,69908345,ايفون 11 مو,الطايف,2021-01-30 05:54:23,2021-01-30 05:54:23,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",4,0,0,0
55,69908333,ساعة ابل الاصدار الرابع مكسورة,أبها,2021-01-30 05:52:54,2021-01-30 05:52:54,"['ابل Apple', 'حراج الأجهزة', 'ساعة أبل Apple Watch']",0,0,0,0
56,69908329,كاميرا لوجيتك للبيع,المدينة,2021-01-30 05:52:15,2021-01-30 05:52:15,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كل الحراج']",2,0,0,480
57,69908320,6.6 مليون كوينز للبيع فيفا 21,مكه,2021-01-30 05:51:47,2021-01-30 05:51:47,"['حراج الأجهزة', 'سوني Sony']",1,0,0,0
58,69908319,كمبيوتر,مكه,2021-01-30 05:51:44,2021-01-30 05:51:44,"['حراج الأجهزة', 'ديل DELL', 'كل الحراج']",0,0,0,600
59,69908315,مطحنة قهوة إيطاليه يوريكا ميغنون ماجنيفيكو,جده,2021-01-30 05:51:39,2021-01-30 05:51:39,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,1,0,0
60,69908306,Call of duty cold war,الرياض,2021-01-30 05:50:29,2021-01-31 15:32:32,"['العاب بلاي ستيشن PS', 'حراج الأجهزة', 'سوني Sony']",2,0,0,0
61,69908302,راوتر زين جديد استخدام شهر 5G,الرياض,2021-01-30 05:49:52,2021-01-30 05:49:52,"['حراج الأجهزة', 'كل الحراج', 'هواوي Huawei']",0,0,0,0
62,69908301,اسوس روج فون 3 asus rog phone 3,جده,2021-01-30 05:49:47,2021-01-30 05:49:47,"['اسوس Asus', 'جوال', 'حراج الأجهزة']",2,0,0,0
63,69908298,ايفون اكس اس ماكس 512,الرياض,2021-01-30 05:49:24,2021-01-30 05:49:24,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",4,0,0,3000
64,69908295,xr 64gb,الشرقيه,2021-01-30 05:49:12,2021-01-30 05:49:12,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",2,0,0,0
65,69908292,ايباد اير 64 جيجا,الرياض,2021-01-30 05:49:04,2021-01-30 05:49:04,"['ابل Apple', 'ايباد iPad', 'حراج الأجهزة']",10,0,0,0
66,69908290,سماعة ايفون سلك الاصلي,الشرقيه,2021-01-30 05:48:58,2021-01-30 05:48:58,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",2,4,0,99
67,69908272,اله قهوه,حائل,2021-01-30 05:46:57,2021-01-30 05:46:57,"['اجهزة غير مصنفة', 'حراج الأجهزة', 'كل الحراج']",2,0,0,500
68,69908288,ايفون 12 العادي,حفر الباطن,2021-01-30 05:48:45,2021-01-30 05:48:45,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",8,0,0,0
69,69908269,للبيع سامسونج جالاكسي إيه51  256 ج- ر8 أسود,المدينة,2021-01-30 05:46:46,2021-01-30 05:46:46,"['جالكسي اس GALAXY S', 'حراج الأجهزة', 'سامسونج Samsung']",12,0,0,0
70,69908268,Xbox series x,جيزان,2021-01-30 05:46:27,2021-01-30 05:46:27,"['اجهزة اكس بوكس Xbox', 'حراج الأجهزة', 'مايكروسوفت Microsoft']",0,0,0,0
71,69908265,لاب توب توشيبا,جده,2021-01-30 05:46:20,2021-01-30 05:46:20,"['توشيبا Toshiba', 'حراج الأجهزة']",1,0,0,700
72,69908262,ايفون للبدل,مكه,2021-01-30 05:46:13,2021-01-30 05:46:13,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",4,1,0,0
73,69908260,ابغى ايفون x اوxr,الشرقيه,2021-01-30 05:46:09,2021-01-30 05:46:09,"['empty', 'ابل Apple', 'ايفون iPhone', 'حراج الأجهزة']",0,0,0,1200
74,69908259,بيقو لايف,الرياض,2021-01-30 05:46:04,2021-01-30 05:46:04,"['حراج الأجهزة', 'سوني Sony']",0,2,0,0
75,69908253,سوني 4,جيزان,2021-01-30 05:45:42,2021-01-30 05:45:42,"['حراج الأجهزة', 'سوني Sony']",13,0,0,0
76,69908251,بلاك شارك ون,الطايف,2021-01-30 05:45:33,2021-01-30 05:45:33,"['اجهزة غير مصنفة', 'حراج الأجهزة']",0,0,0,0
77,69908248,ابل واتش 3 ساعة ابل 3,الرياض,2021-01-30 05:45:25,2021-01-30 05:45:25,"['ابل Apple', 'حراج الأجهزة', 'ساعة أبل Apple Watch', 'كل الحراج']",3,0,0,0
78,69908239,ايباد 7 للبيع,جده,2021-01-30 05:44:54,2021-01-30 05:44:54,"['ابل Apple', 'ايباد iPad', 'حراج الأجهزة']",4,0,0,0
79,69908237,لابتوب dell صغير,الرياض,2021-01-30 05:44:51,2021-01-30 05:44:51,"['حراج الأجهزة', 'ديل DELL']",0,0,0,500
80,69908235,حساب ببجي مميز جدا,حفر الباطن,2021-01-30 05:44:45,2021-01-30 05:44:45,"['ابل Apple', 'ايفون iPhone', 'حراج الأجهزة', 'كل الحراج']",2,0,0,0
